Product ID,Product Name,Category,Price,Stock Quantity,Quantity Sold,AD TYPES,Ad Duration(Mins),Ad Spend($),Click-Through Rate (CTR)(%),Conversion Rate(%),Customer Rating,Review Count,Discount Offered(%),Sales Channel,Geographic Region,Return Rate(%),Customer Demographics,Time of Purchase,Payment Method
P0001,Product 1,Home & Kitchen,99.6,137,910,Search Engine Ads,50,4724.88,0.1581,0.0474,4.6,1,18.61,Online,Europe,0.1993,Young Adults,Night,Debit Card
P0002,Product 2,Electronics,29.18,100,121,Search Engine Ads,39,2125.54,0.1176,0.0317,4.6,57,20.96,Online,South America,0.1718,Young Adults,Afternoon,Debit Card
P0003,Product 3,Beauty,355.56,222,664,Social Media Ads,27,4413.94,0.0692,0.0601,3.3,130,7.2,Online,Europe,0.1909,Middle-aged,Afternoon,Debit Card
P0004,Product 4,Clothing,310.72,206,264,Search Engine Ads,24,1570.78,0.011,0.0444,4.1,496,3.26,Online,North America,0.2195,Middle-aged,Evening,Cryptocurrency
P0005,Product 5,Clothing,186.45,25,92,Display Ads,44,498.81,0.1905,0.016,2.7,213,24.92,Retail Store,Asia,0.238,Middle-aged,Morning,Credit Card
P0006,Product 6,Clothing,350.12,101,921,Search Engine Ads,36,3652.21,0.0291,0.0304,3.6,154,3.94,Online,Europe,0.2034,Seniors,Morning,PayPal
P0007,Product 7,Beauty,425.44,443,711,Social Media Ads,42,2582.17,0.1227,0.0674,3.1,401,21.12,Online,Asia,0.0808,Seniors,Evening,Cryptocurrency
P0008,Product 8,Beauty,59.16,454,92,Display Ads,36,2066.92,0.133,0.0247,4.2,254,21.46,Online,North America,0.1913,Teenagers,Afternoon,Credit Card
P0009,Product 9,Sports,121.94,364,855,Social Media Ads,12,1196.31,0.0915,0.0787,3.1,28,6.51,Online,Europe,0.2474,Middle-aged,Night,Credit Card
P0010,Product 10,Toys,240.78,344,25,Display Ads,60,417.06,0.1614,0.0752,4.6,246,27.74,Retail Store,Europe,0.1005,Teenagers,Evening,Debit Card
P0011,Product 11,Toys,355.17,20,363,Social Media Ads,33,3199.53,0.0635,0.0114,2.8,369,9.69,Retail Store,South America,0.2099,Seniors,Afternoon,PayPal
P0012,Product 12,Clothing,65.06,149,797,Search Engine Ads,9,2097.76,0.012,0.0246,4.8,32,25.62,Retail Store,South America,0.2764,Middle-aged,Morning,Credit Card
P0013,Product 13,Toys,386.6,83,63,Display Ads,33,457.7,0.0639,0.0499,4.2,122,25.53,Online,Asia,0.2275,Middle-aged,Evening,Debit Card
P0014,Product 14,Electronics,249.46,229,525,Search Engine Ads,51,838.23,0.0503,0.0453,3.5,259,12.13,Online,South America,0.1407,Seniors,Morning,Credit Card
P0015,Product 15,Sports,215.27,112,832,Social Media Ads,15,4333.79,0.1825,0.0056,2.8,305,24.33,Online,Australia,0.1631,Young Adults,Morning,PayPal
P0016,Product 16,Toys,355.55,158,736,Search Engine Ads,52,4531.6,0.1182,0.0337,2.8,200,1.14,Online,Asia,0.0439,Young Adults,Afternoon,Debit Card
P0017,Product 17,Toys,136.44,381,925,Social Media Ads,33,4758.23,0.134,0.0306,4.8,315,26.35,Retail Store,Europe,0.0253,Young Adults,Morning,PayPal
P0018,Product 18,Clothing,299.89,300,881,Search Engine Ads,7,4361.22,0.1392,0.0349,3,473,23.76,Online,Australia,0.0196,Young Adults,Afternoon,Debit Card
P0019,Product 19,Clothing,345.39,473,534,Search Engine Ads,30,1919.04,0.1843,0.0329,3,234,15.8,Retail Store,Asia,0.2376,Young Adults,Evening,PayPal
P0020,Product 20,Toys,46,220,70,Social Media Ads,40,4916.58,0.1088,0.0052,4.6,157,28.52,Online,Asia,0.1392,Middle-aged,Morning,PayPal
P0021,Product 21,Toys,92.91,398,323,Search Engine Ads,35,3365.94,0.0557,0.0859,2.8,93,17.58,Retail Store,Europe,0.044,Middle-aged,Morning,Credit Card
P0022,Product 22,Beauty,268.66,31,365,Social Media Ads,46,4316.93,0.0286,0.0581,4.5,179,7.33,Online,Australia,0.1847,Young Adults,Night,Cryptocurrency
P0023,Product 23,Electronics,202.13,135,826,Search Engine Ads,23,130.39,0.0426,0.0203,4.9,157,17.46,Online,Europe,0.0729,Seniors,Night,Cryptocurrency
P0024,Product 24,Home & Kitchen,422.93,96,134,Display Ads,9,2013.07,0.0165,0.0534,3.7,313,14.74,Online,South America,0.2074,Seniors,Evening,PayPal
P0025,Product 25,Clothing,267.37,330,416,Social Media Ads,51,4597.79,0.1658,0.09,2.9,73,18.91,Retail Store,South America,0.0169,Teenagers,Night,Debit Card
P0026,Product 26,Home & Kitchen,429.18,154,477,Social Media Ads,60,731.81,0.0923,0.0982,3.4,217,22.7,Retail Store,Asia,0.2722,Seniors,Afternoon,Cryptocurrency
P0027,Product 27,Toys,417.4,400,992,Search Engine Ads,15,4941.86,0.179,0.0372,4.8,355,0.75,Retail Store,South America,0.0425,Seniors,Afternoon,PayPal
P0028,Product 28,Beauty,31.23,165,130,Search Engine Ads,16,4419.36,0.0149,0.045,4,490,13.63,Online,North America,0.1696,Young Adults,Morning,Cryptocurrency
P0029,Product 29,Clothing,171.8,85,921,Search Engine Ads,45,1630.8,0.1141,0.0204,3,78,0.34,Online,South America,0.0396,Young Adults,Night,Cryptocurrency
P0030,Product 30,Home & Kitchen,221,122,439,Social Media Ads,49,1306.91,0.1733,0.0822,3.4,262,19.5,Online,Asia,0.121,Middle-aged,Evening,Debit Card
